10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Incomplete or No Cache-control and Pragma HTTP Header Set)
10016	IGNORE	(Web Browser XSS Protection Not Enabled)
10017	IGNORE	(Cross-Domain JavaScript Source File Inclusion)
10020	IGNORE	(X-Frame-Options Header Scanner)
10021	IGNORE	(X-Content-Type-Options Header Missing)
10023	IGNORE	(Information Disclosure - Debug Error Messages)
2	IGNORE	(Private IP Disclosure)
90022	IGNORE	(Application Error Disclosure)
10038	IGNORE	(Content Security Policy (CSP) Header Not Set)
10036	IGNORE	(Server Leaks Version Information via "Server" HTTP Response Header Field)
10035	IGNORE	(Strict-Transport-Security Header Not Set)
10062	IGNORE	(PII Scanner)
10098	IGNORE	(Cross-Domain Misconfiguration)
10108	IGNORE	(Reverse Tabnabbing)
10050	IGNORE	(Retrieved from Cache)
